	ヶ
#NAME?	イズム
(self-)complacency	ジコマン
+-	プラスマイナス
-endian	エンディアン
.ini	イニ
0.999999	シックスナイン
007	ゼロゼロセブン
10^-15	フェムト
10^-2	センチ
10^-21	ゼプト
10^-24	ヨクト
10^-3	ミリ
10^-6	マイクロ
10^1	ダカ
10^15	ペタ
10^18	エクサ
10^2	ヘクト
10^21	ゼタ
10^24	ヨタ
10^3	キロ
10^6	メガ
10^9	ギガ
1seg	ワンセグ
28.35g	アウンス
386	サンハチロク
3COM	スリーコム
3D	スリーディー
3DBENCH	スルーディーベンチ
3DO	スリーディーオー
3DR	スリーディーアール
430HX	ヨンサンマルエイチエックス
430VX	ヨンサンマルブイエックス
486	ヨンハチロク
4D	フォーディー
4GL	フォージーエル
5x86	ゴーペケハチロク
69	シックスナイン
6x86	ロクペケハチロク
95	キューゴ
98	キュウジュウハチ
A-UX	エーユーエックス
A-to-B	エートゥビー
AARnet	アーネット
ABC	エービーシー
ABE	エービーイー
ABEND	アベンド
ACK	アック
ACL	アクセスコントロールリスト
ADB	エーディービー
ADJ	エーディージェイ
ADO	エーディーオー
ADPCM	エーディーピーシーエム
AFS	エーエフエス
AIESEC	アイセック
AIF	エーアイエフ
AIFF	アイフ
AIMM	エーアイエムエム
AIX	エーアイエックス
AL-Mail	アルメール
ALU	エーエルユー
AMD	エーエムーディー
AMD-K6	エーエムディーケーシックス
AMD-K7	エーエムディーケーセブン
AMI	アミ
AMPS	アンプス
AMeDAS	アメダス
ANK	アンク
ANS	エーエヌエス
ANZUS	アンザス
AOL	アメリカオンライン
APDA	アプダ
APEC	エイペック
API	アプリケーションプログラミングインタフェース
APICNET	アピックネット
APL	アプル
ARCHIE	アーキー
ARJ	エーアールジェイ
ARMM	アーム
ARP	アープ
ARPA	アーパ
ARPANET	アーパネット
AS-400	エーエスヨンヒャク
ASATERM	アサターム
ASCII	アスキー
ASIC	エーシック
ASIMO	アシモ
ASKUL	アスクル
ASL	アメリカサインランゲージ
ASP	アクティブサーバーページ
ASPAC	アスパック
ASPI	アスピー
ASROC	アスロック
AT&T	エーティーアンドティー
ATA	エーティーエー
ATAPI	アタピー
ATM	キャッシュサービスコーナー
ATOK	エイトック
AUI	アタッチメントユニットインタフェース
AUTOEXEC.BAT	オートエグゼックバット
AVI	エーブイアイ
AWB	オートホワイトバランス
AZT	アジドチミジン
Abelian	アーベル
Abyssinian	アビシニアン
Acanthamoeba	アカントアメーバ
Accutane	アキュテイン
Achilles	アキレス
ActiveServerPages	アクティブサーバーページズ
ActiveX	アクティブエックス
Ada	エイダ
Add-Strip	アドストリップ
Adenovirus	アデノウイルス
Adidas	アディダス
Adobe	アドビ
Aegis	イージス
Afghan	アフガン
Afghanistan	アフガニスタン
Africa	アフリカ
African-American	アフリカンアメリカン
Afrikaans	アフリカーンス
Afrikaner	アフカーナ
Afro	アフロ
Afro-Caribbean	アフロカリビアン
Afro-hair	アフロヘア
Agni	アグニ
Agora	アゴラ
Ah!	アー
Ainu	アイヌ
AirMac	エアマック
Alan	アラン
Alas!	アー
Albania	アルバニア
Albireo	アルビレオ
Alcyone	アルシオーネ
Aldebaran	アルデバラン
Aleph	アーレフ
Alex	アレックス
Algeria	アルジェリア
Algol	アルゴル
Allah	アラー
Alpen	アルペン
Alphard	アルファルド
Altair	アルタイル
Altair8800	アルティアハチハチゼロゼロ
Alzheimer	アルツハイマー
Alzheimer's	ボケ
Amazon	アマゾン
Amazon.com	アマゾンドットコム
Amazons	アマゾニス
America	アメリカ
American	アメリカン
Americanise	アメリカナイズ
Americanism	アメリカニズム
Americanize	アメリカナイズ
Ameslan	アメスラン
Amhara	アムハラ
Amiga	アミーガ
Amish	アーミッシュ
Amphenol	アンフェノール
Amtrak	アムトラック
Anaphylaxie	アナフィラキシー
Anchorage	アンカレジ
Andorra	アンドラ
Andromeda	アンドロメダ
Anglo-America	アングロアメリカ
